domain,layer,policy,cap_frac,capacity,demand_miss_per_tok,prefetch_per_tok,est_tok_per_s
code,24,lru,0.067,8,5.111375,0.0,39.64674747995362
code,24,lfu,0.067,8,5.00875,0.0,39.9720195862896
code,24,static,0.067,8,4.76,0.0,40.783034257748774
code,24,belady,0.067,8,3.548,0.0,45.257060101375814
code,24,lru,0.134,17,2.724375,0.0,48.90274466654441
code,24,lfu,0.134,17,3.195125,0.0,46.75027173595446
code,24,static,0.134,17,3.26475,0.0,46.44789707146009
code,24,belady,0.134,17,1.6705,0.0,54.52265416280464
code,24,lru,0.2,25,1.785375,0.0,53.84812137366558
code,24,lfu,0.2,25,2.3475,0.0,50.774308200050775
code,24,static,0.2,25,2.568375,0.0,49.66044669571803
code,24,belady,0.2,25,1.0085,0.0,58.76476464711759
code,24,lru,0.3,38,0.970125,0.0,59.03100603592037
code,24,lfu,0.3,38,1.328,0.0,56.63797009515179
code,24,static,0.3,38,1.55225,0.0,55.234886354221324
code,24,belady,0.3,38,0.49,0.0,62.57822277847309
code,24,lru,0.5,64,0.284375,0.0,64.23123243677239
code,24,lfu,0.5,64,0.454625,0.0,62.856514291999936
code,24,static,0.5,64,0.69,0.0,61.05006105006105
code,24,belady,0.5,64,0.134375,0.0,65.49324600900532
code,24,lru,0.7,89,0.085125,0.0,65.91849178490797
code,24,lfu,0.7,89,0.113125,0.0,65.67605286922256
code,24,static,0.7,89,0.163625,0.0,65.24327586488118
code,24,belady,0.7,89,0.041125,0.0,66.3031046428749
