domain,layer,policy,cap_frac,capacity,demand_miss_per_tok,prefetch_per_tok,est_tok_per_s
general,24,lru,0.067,8,4.9215,0.0,40.252787505534755
general,24,lfu,0.067,8,5.204625,0.0,39.35574643092575
general,24,static,0.067,8,5.16325,0.0,39.48433459025132
general,24,belady,0.067,8,3.558,0.0,45.21613311629589
general,24,lru,0.134,17,2.836375,0.0,48.372857989382155
general,24,lfu,0.134,17,3.850125,0.0,44.05237827777227
general,24,static,0.134,17,3.85575,0.0,44.03055720670145
general,24,belady,0.134,17,1.806,0.0,53.728777133032445
general,24,lru,0.2,25,1.96575,0.0,52.82201621635898
general,24,lfu,0.2,25,2.904625,0.0,48.05555221836443
general,24,static,0.2,25,2.942875,0.0,47.879535089714274
general,24,belady,0.2,25,1.1225,0.0,57.98782255726297
general,24,lru,0.3,38,1.123375,0.0,57.981938626117966
general,24,lfu,0.3,38,1.72575,0.0,54.19613581551636
general,24,static,0.3,38,1.92975,0.0,53.02367507091916
general,24,belady,0.3,38,0.55475,0.0,62.07517303454483
general,24,lru,0.5,64,0.331875,0.0,63.84167265182348
general,24,lfu,0.5,64,0.48425,0.0,62.62328960140276
general,24,static,0.5,64,0.72375,0.0,60.799513603891164
general,24,belady,0.5,64,0.149125,0.0,65.36695373653849
general,24,lru,0.7,89,0.083125,0.0,65.93587735926812
general,24,lfu,0.7,89,0.106,0.0,65.73757559821193
general,24,static,0.7,89,0.1545,0.0,65.32105297537396
general,24,belady,0.7,89,0.0395,0.0,66.31739505272233
