domain,layer,policy,cap_frac,capacity,demand_miss_per_tok,prefetch_per_tok,est_tok_per_s
math,24,lru,0.067,8,5.70525,0.0,37.86372844133962
math,24,lfu,0.067,8,5.60225,0.0,38.16138449502948
math,24,static,0.067,8,5.4525,0.0,38.60258637328701
math,24,belady,0.067,8,4.223,0.0,42.651198498677815
math,24,lru,0.134,17,3.80725,0.0,44.21941674589312
math,24,lfu,0.134,17,4.080125,0.0,43.1774268412474
math,24,static,0.134,17,3.971125,0.0,43.58770390872735
math,24,belady,0.134,17,2.44275,0.0,50.28789821729401
math,24,lru,0.2,25,2.76625,0.0,48.70327529526361
math,24,lfu,0.2,25,3.132625,0.0,47.02507612184197
math,24,static,0.2,25,3.105,0.0,47.14757190004715
math,24,belady,0.2,25,1.618875,0.0,54.83132513605023
math,24,lru,0.3,38,1.664,0.0,54.56132693147097
math,24,lfu,0.3,38,1.995125,0.0,52.65860112426113
math,24,static,0.3,38,2.03175,0.0,52.456264589398586
math,24,belady,0.3,38,0.87275,0.0,59.71753605446239
math,24,lru,0.5,64,0.560875,0.0,62.02800564454852
math,24,lfu,0.5,64,0.64,0.0,61.42506142506142
math,24,static,0.5,64,0.691125,0.0,61.041676204428576
math,24,belady,0.5,64,0.257375,0.0,64.45479301954592
math,24,lru,0.7,89,0.1585,0.0,65.28693608408958
math,24,lfu,0.7,89,0.144375,0.0,65.40757092633473
math,24,static,0.7,89,0.16025,0.0,65.27202114813485
math,24,belady,0.7,89,0.064,0.0,66.10259122157589
