domain,layer,policy,cap_frac,capacity,demand_miss_per_tok,prefetch_per_tok,est_tok_per_s
medical,24,lru,0.067,8,5.154375,0.0,39.51202647305774
medical,24,lfu,0.067,8,5.360625,0.0,38.87835933323614
medical,24,static,0.067,8,5.2185,0.0,39.31281204544561
medical,24,belady,0.067,8,3.667625,0.0,44.772277006077836
medical,24,lru,0.134,17,2.963375,0.0,47.78572879209624
medical,24,lfu,0.134,17,3.938625,0.0,43.7115474980603
medical,24,static,0.134,17,3.96175,0.0,43.62335594477283
medical,24,belady,0.134,17,1.863875,0.0,53.39669741426493
medical,24,lru,0.2,25,2.03525,0.0,52.43701004168742
medical,24,lfu,0.2,25,2.944875,0.0,47.87036704603933
medical,24,static,0.2,25,2.955,0.0,47.82400765184122
medical,24,belady,0.2,25,1.135125,0.0,57.90304135724729
medical,24,lru,0.3,38,1.120375,0.0,58.002117077273326
medical,24,lfu,0.3,38,1.6825,0.0,54.45140212360468
medical,24,static,0.3,38,1.9005,0.0,53.18866017765012
medical,24,belady,0.3,38,0.526375,0.0,62.294622416719875
medical,24,lru,0.5,64,0.268125,0.0,64.36559658862338
medical,24,lfu,0.5,64,0.364125,0.0,63.579864256989815
medical,24,static,0.5,64,0.533625,0.0,62.23840420731612
medical,24,belady,0.5,64,0.12325,0.0,65.58882366444759
medical,24,lru,0.7,89,0.069625,0.0,66.05347028419506
medical,24,lfu,0.7,89,0.066125,0.0,66.0840258388541
medical,24,static,0.7,89,0.068375,0.0,66.06437973805474
medical,24,belady,0.7,89,0.035375,0.0,66.35369838926397
