domain,layer,policy,cap_frac,capacity,demand_miss_per_tok,prefetch_per_tok,est_tok_per_s
trace_math,4,lru,0.125,2,1.5167716604764345,0.0,55.45221935603287
trace_math,4,lfu,0.125,2,1.569884253329918,0.0,55.12749512943674
trace_math,4,static,0.125,2,1.530733702612705,0.0,55.366486983814355
trace_math,4,belady,0.125,2,1.3276787429559427,0.0,56.64003126518119
trace_math,4,lru,0.25,4,1.141995789574795,0.0,57.857005739712484
trace_math,4,lfu,0.25,4,1.2060927094006149,0.0,57.431044751006716
trace_math,4,static,0.25,4,1.1814645235655739,0.0,57.593969156098616
trace_math,4,belady,0.25,4,0.7898529553022541,0.0,60.31470071856897
trace_math,4,lru,0.5,8,0.5941682409067623,0.0,61.77286969068321
trace_math,4,lfu,0.5,8,0.6153144211065574,0.0,61.61190732174033
trace_math,4,static,0.5,8,0.6355480756915983,0.0,61.45867436933501
trace_math,4,belady,0.5,8,0.31338851178278687,0.0,63.992722139182945
