layer,coverage,experts_needed,frac_of_experts,domain
0,0.9,79,0.6171875,code
0,0.95,93,0.7265625,code
0,0.99,112,0.875,code
1,0.9,77,0.6015625,code
1,0.95,92,0.71875,code
1,0.99,112,0.875,code
2,0.9,56,0.4375,code
2,0.95,71,0.5546875,code
2,0.99,90,0.703125,code
3,0.9,64,0.5,code
3,0.95,77,0.6015625,code
3,0.99,101,0.7890625,code
4,0.9,47,0.3671875,code
4,0.95,61,0.4765625,code
4,0.99,86,0.671875,code
5,0.9,47,0.3671875,code
5,0.95,60,0.46875,code
5,0.99,82,0.640625,code
6,0.9,30,0.234375,code
6,0.95,42,0.328125,code
6,0.99,67,0.5234375,code
7,0.9,31,0.2421875,code
7,0.95,42,0.328125,code
7,0.99,61,0.4765625,code
8,0.9,44,0.34375,code
8,0.95,58,0.453125,code
8,0.99,81,0.6328125,code
9,0.9,47,0.3671875,code
9,0.95,60,0.46875,code
9,0.99,87,0.6796875,code
10,0.9,57,0.4453125,code
10,0.95,71,0.5546875,code
10,0.99,98,0.765625,code
11,0.9,57,0.4453125,code
11,0.95,71,0.5546875,code
11,0.99,96,0.75,code
12,0.9,58,0.453125,code
12,0.95,74,0.578125,code
12,0.99,96,0.75,code
13,0.9,56,0.4375,code
13,0.95,72,0.5625,code
13,0.99,97,0.7578125,code
14,0.9,55,0.4296875,code
14,0.95,69,0.5390625,code
14,0.99,93,0.7265625,code
15,0.9,48,0.375,code
15,0.95,62,0.484375,code
15,0.99,85,0.6640625,code
16,0.9,46,0.359375,code
16,0.95,59,0.4609375,code
16,0.99,81,0.6328125,code
17,0.9,45,0.3515625,code
17,0.95,60,0.46875,code
17,0.99,83,0.6484375,code
18,0.9,30,0.234375,code
18,0.95,39,0.3046875,code
18,0.99,64,0.5,code
19,0.9,30,0.234375,code
19,0.95,39,0.3046875,code
19,0.99,55,0.4296875,code
20,0.9,38,0.296875,code
20,0.95,50,0.390625,code
20,0.99,69,0.5390625,code
21,0.9,39,0.3046875,code
21,0.95,51,0.3984375,code
21,0.99,78,0.609375,code
22,0.9,52,0.40625,code
22,0.95,65,0.5078125,code
22,0.99,92,0.71875,code
23,0.9,53,0.4140625,code
23,0.95,66,0.515625,code
23,0.99,95,0.7421875,code
24,0.9,52,0.40625,code
24,0.95,68,0.53125,code
24,0.99,94,0.734375,code
25,0.9,51,0.3984375,code
25,0.95,67,0.5234375,code
25,0.99,93,0.7265625,code
26,0.9,50,0.390625,code
26,0.95,66,0.515625,code
26,0.99,91,0.7109375,code
27,0.9,42,0.328125,code
27,0.95,58,0.453125,code
27,0.99,83,0.6484375,code
28,0.9,44,0.34375,code
28,0.95,58,0.453125,code
28,0.99,79,0.6171875,code
29,0.9,42,0.328125,code
29,0.95,58,0.453125,code
29,0.99,83,0.6484375,code
30,0.9,26,0.203125,code
30,0.95,35,0.2734375,code
30,0.99,64,0.5,code
31,0.9,30,0.234375,code
31,0.95,42,0.328125,code
31,0.99,63,0.4921875,code
32,0.9,41,0.3203125,code
32,0.95,56,0.4375,code
32,0.99,79,0.6171875,code
33,0.9,45,0.3515625,code
33,0.95,60,0.46875,code
33,0.99,86,0.671875,code
34,0.9,55,0.4296875,code
34,0.95,71,0.5546875,code
34,0.99,99,0.7734375,code
35,0.9,57,0.4453125,code
35,0.95,73,0.5703125,code
